power,alpha,cv_rmse
1.1,5.0,716.074535328511
1.1,10.0,716.4883715812696
1.1,25.0,720.3477561252522
1.1,1.0,721.0638303668509
1.3,1.0,722.2731928813951
1.3,5.0,723.1850346767679
1.1,0.5,723.7081319609563
1.3,0.5,724.3530913438111
1.1,50.0,726.2534210826565
1.3,10.0,727.0103138846517
1.5,1.0,731.5839571205518
1.5,0.5,732.2586315328331
1.3,25.0,737.2048629601861
1.5,5.0,737.4792206294076
1.7,1.0,746.4482958665371
1.5,10.0,746.8993599748226
1.7,0.5,748.3074038274297
1.3,50.0,752.1399529031429
1.7,5.0,762.7411862624704
1.5,25.0,771.9238039832725
1.7,10.0,784.7547082322839
1.5,50.0,797.415128477476
1.7,25.0,817.9524255454379
1.7,50.0,838.6523207128524
